系列,牌号,销售区域,部门,销售,公司名称,近三年牌号成交规模,公司类型,制成品,行业,细分行业,用料,使用品类,使用二级品类,月用量,是否授信,冻结原因,授信期限,授信区间,快塑贷授信额度,快塑贷在贷余额,保险额度,第三方预授信额度,第三方激活额度,第三方已用额度,第三方预授信明细,第三方激活明细,复购率,最近成交日期,公司规模,近一年公司渗透率,近一年公司品类渗透率,近一年成交品类数,近一年成交品类,crm是否有期货用料,近一年是否有期货订单,是否代采客户,黑名单状态,近30天上线天数,当月上线天数,是否绑定企微,近一年快塑贷逾期率,近一年最长逾期天数,近一年最长逾期天数区间,近一年平均逾期天数,近一年平均逾期天数区间,是否使用美金支付,是否使用手册核销
6碳线性Dowlex系列,2607G,快塑华南,交易服务4部-广州,郭泽标,佛山炜烨成塑业有限公司,,终端,排水/排污管|饮用水管/给水管,消费品,工业类,"HDPE中空料-5021Y|中海壳牌,HDPE中空料-6200|大庆石化,HDPE中空料-HB0035|伊朗石化,HDPE中空料-HD5403.AS(AS55-003)|埃克森,HDPE中空料-HD5404(HYA600)|埃克森,HDPE注塑料-62N07|中东,HDPE管材料-100S|吉林石化,HDPE管材料-23050|海南乙烯,HDPE管材料-N3000|独山子石化,HDPE膜料-10500FE|俄罗斯西布尔,HDPE膜料-5110|伊朗石化,HDPE膜料-5121B|中海壳牌,HDPE膜料-6095H|独山子石化,HDPE膜料-6095|广东石化,HDPE膜料-6888|科威特,HDPE膜料-7000F|泰国PTT,HDPE膜料-9252B|宝来,HDPE膜料-9255B|宝来,HDPE膜料-9255|广东石化,HDPE膜料-EX5|伊朗石化,HDPE膜料-FB1350|北欧化工,HDPE膜料-FB1520|北欧化工,HDPE膜料-FJ00952|沙特SABIC,HDPE膜料-HD55110|中化泉州,HDPE膜料-HD7000|美国PlastiComp,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|伊朗石化,LDPE膜料-2426H|浙江石化,LDPE膜料-2426K|泰国PTT,LDPE膜料-951-050|茂名石化,LDPE膜料-J24FS040|印度信诚,LLDPE注塑料-M2750|广州石化,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-20211FE|俄罗斯西布尔,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-DFDA-7047NT7|陶氏,LLDPE膜料-LL09200NP|俄罗斯西布尔,LLDPE膜料-Q2018H|卡塔尔石化,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1018|兰州石化,MLLDPE-LL1090|泰国PTT,PPHM纤维料-Y381H|东华能源","HDPE,LDPE,LLDPE,MLLDPE,PPHM","HDPE中空料,HDPE注塑料,HDPE管材料,HDPE膜料,LDPE膜料,LLDPE注塑料,LLDPE膜料,MLLDPE,PPHM纤维料",300,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,300000,,0,214756.75,0,0,京塑条|授信额度:|214757|,,无复购率,2024-04-28,中客户,,"HDPE|月用量|100|渗透率|0.00%|,HDPE中空料|月用量|100|渗透率|0.00%|,HDPE拉丝料|月用量|20|渗透率|0.00%|,HDPE注塑料|月用量|100|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,否
6碳线性Dowlex系列,2607G,,,,台州市绿立谷农业科技发展有限公司,,终端,通用农膜,其它,其它,"ABS-0215A|吉林石化,HDPE中空料-B56003|印度信诚,HDPE拉丝料-5000S|大庆石化,HDPE注塑料-GC7260|宁夏宝丰,HDPE膜料-10500FE|俄罗斯西布尔,HDPE膜料-5110|伊朗石化,HDPE膜料-6097|大庆石化,HDPE膜料-FB1460|北欧化工,HDPE膜料-FB1520|北欧化工,HDPE膜料-STL-FS1460H|连云港石化（卫星）,HDPE膜料-TR131|卡塔尔石化,HDPE膜料-TR131|沙特聚合物,HDPE膜料-TR144|卡塔尔石化,HDPE膜料-TR144|茂名石化,HDPE膜料-TR144|雪佛龙菲利普斯,LDPE膜料-10803|俄罗斯喀山,LLDPE膜料-0209AA|伊朗石化,LLDPE膜料-1018LA|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-2045LC|陶氏,LLDPE膜料-219ZJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645|陶氏,LLDPE膜料-7042|吉林石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7050HJ|镇海炼化,LLDPE膜料-F19010|印度信诚,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FB2310|北欧化工,LLDPE膜料-FD21HS|沙特QAMAR,LLDPE膜料-JF19010|印度信诚,LLDPE膜料-LL09200NP|俄罗斯西布尔,MLLDPE-5220G|陶氏,MLLDPE-7810A|泰国PTT,MLLDPE-FK1828|北欧化工,MLLDPE-SP1520|三井化学,PPB注塑料-K8003|独山子石化","ABS,HDPE,LDPE,LLDPE,MLLDPE,PPB","ABS,HDPE中空料,HDPE拉丝料,HDPE注塑料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,PPB注塑料",100,未授信,,0,未授信,,,0,,,,,,无复购率,2021-08-27,小客户,,"HDPE中空料|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|0|渗透率|0.00%|,ABS|月用量|0|渗透率|0.00%|,HDPE拉丝料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|0|渗透率|0.00%|,LLDPE注塑料|月用量|0|渗透率|0.00%|,PPB注塑料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|,MDPE膜料|月用量|10|渗透率|0.00%|,HDPE膜料|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,小于5天,1,已绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,快塑华南,交易服务4部-广州,黄小珍,佛山市汇信包装材料有限公司,,终端,保护膜,软包装,工业,"LDPE膜料-0270|卡塔尔石化,LDPE膜料-15803-020|阿塞拜疆,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|兰州石化,LDPE膜料-FL2202C|台塑美国,LDPE膜料-FT6230|北欧化工,LDPE重包料-2420F|中海壳牌,LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-18020N|印度信诚,LLDPE膜料-1820S1|印尼钱德拉阿斯里,LLDPE膜料-1820T|印尼Indorama,LLDPE膜料-2002A|OPAL石化,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-218BJ|沙特SABIC,LLDPE膜料-218NJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042-GD|海南乙烯,LLDPE膜料-7042N|大庆石化,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042N协议料|广东石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|福建联合,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042粉|茂名石化,LLDPE膜料-7420A|泰国PTT,LLDPE膜料-Q2018N|卡塔尔石化","LDPE,LLDPE","LDPE膜料,LDPE重包料,LLDPE膜料",1000,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,800000,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2024-03-22,大客户,,"LLDPE膜料|月用量|800|渗透率|0.00%|,LDPE膜料|月用量|130|渗透率|0.00%|,LDPE重包料|月用量|0.1|渗透率|0.00%|,LDPE发泡料|月用量|0.1|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,CPG-上海内海,CPG-上海内海,CPG-上海内海1,慈溪市学盛包装用品有限公司,74.25,终端,日化泵头/喷头,消费品,日用类,"HDPE膜料-5121B|中海壳牌,HDPE膜料-9001|台湾塑胶,LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042-GD|浙江石化,LLDPE膜料-7042K|茂名石化,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|镇海炼化,PPHM拉丝料-T30S|宁波富德","HDPE,LLDPE,PPHM","HDPE膜料,LLDPE膜料,PPHM拉丝料",51,未授信,,0,未授信,,,0,300000,0,0,京塑条|授信额度:|300000|,,四月购,2025-12-24,小客户,12.13%,"PPHM拉丝料|月用量|10|渗透率|0.00%|,LLDPE膜料|月用量|0|渗透率|0.00%|",1,LLDPE,,有期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,未知
6碳线性Dowlex系列,2607G,CPG-广州内海,CPG-广州内海,CPG-广州内海1,中山市更进包装材料有限公司,,终端,通用包装膜/袋,其它,其它,"LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|广州石化",LLDPE,LLDPE膜料,100,未授信,,0,未授信,,,0,,,,,,无复购率,,小客户,,"LLDPE膜料|月用量|80|渗透率|0.00%|,MLLDPE|月用量|20|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,快塑华北,华北交易2部,刘鹏,青岛伟东包装有限公司,,终端,CPP膜,软包装,工业,"LDPE膜料-0474|卡塔尔石化,LLDPE膜料-0220KJ|上海赛科,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7050|烟台万华,LLDPE膜料-LL0220AA|上海赛科,LLDPE膜料-Q2018H|卡塔尔石化,LLDPE膜料-Q2018N|卡塔尔石化,MLLDPE-2012MA|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-2018MB(2018.MB)|埃克森,MLLDPE-2018MB|埃克森,MLLDPE-M3518.CB|埃克森,MLLDPE-SP1520|日本普瑞曼,PPHM拉丝料-456J|烟台万华,PPHM拉丝料-HP550J|京博聚烯烃,PPHM拉丝料-HP550J|金能化学,PPHM拉丝料-L5E89|中煤鄂能化,PPHM拉丝料-PPH-T03|中天合创","LDPE,LLDPE,MLLDPE,PPHM","LDPE膜料,LLDPE膜料,MLLDPE,PPHM拉丝料",700,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,300000,,0,300000,0,0,京塑条|授信额度:|300000|,,年购,2026-04-02,大客户,0.38%,"LLDPE膜料|月用量|100|渗透率|2.62%|,PPHM拉丝料|月用量|500|渗透率|0.00%|,MLLDPE|月用量|100|渗透率|0.00%|,LDPE膜料|月用量|0|渗透率|0.00%|",1,LLDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,否
6碳线性Dowlex系列,2607G,快塑华南,工具组,"刘天丰,张魁元",东莞市恒盛胶袋有限公司,,终端,电子产品包装胶袋,软包装,工业,"HDPE膜料-5121B|中海壳牌,HDPE膜料-52090ZK|中科炼化,HDPE膜料-5310|中科炼化,HDPE膜料-6888|科威特,HDPE膜料-7000F|泰国PTT,HDPE膜料-9255B|宝来,HDPE膜料-FB1350|北欧化工,HDPE膜料-HD55110|中科炼化,LDPE膜料-0274|卡塔尔石化,LDPE膜料-0474|卡塔尔石化,LDPE膜料-2426K|茂名石化,LDPE膜料-C150Y|马来西亚PETLIN,LLDPE膜料-0220KJ|伊朗石化,LLDPE膜料-19020|印度信诚,LLDPE膜料-2001|广州石化,LLDPE膜料-2018.BU|埃克森,LLDPE膜料-2018.XBU|埃克森,LLDPE膜料-20211FE|俄罗斯西布尔,LLDPE膜料-2022.KI(201KI)|福建联合,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-222WF|福建联合,LLDPE膜料-222WT|中沙石化,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645.11G|陶氏,LLDPE膜料-7042|广州石化,LLDPE膜料-7050|科威特,LLDPE膜料-7050|阿曼,LLDPE膜料-7420D|泰国PTT,LLDPE膜料-C4LL2018.XBU|埃克森,LLDPE膜料-DFDC-7050|中海壳牌,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FD21HS|沙特QAMAR,LLDPE膜料-Q2018H|卡塔尔石化,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-3518CB|埃克森,MLLDPE-M3518.CB|埃克森,PPHM膜料-1126NK|泰国IRPC,PPHM膜料-H100EY|印度信诚,PPHM膜料-PD943|大腾","HDPE,LDPE,LLDPE,MLLDPE,PPHM","HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,PPHM膜料",300,已授信,,15,8-15天,600000,252840,0,256976.56,0,0,京塑条|授信额度:|256977|,,二月购,2026-05-21,中客户,25.44%,"LLDPE膜料|月用量|100|渗透率|63.87%|,LDPE膜料|月用量|91|渗透率|5.22%|,PPHM膜料|月用量|5|渗透率|0.00%|,HDPE膜料|月用量|50|渗透率|14.50%|",4,"HDPE,LDPE,LLDPE,MLLDPE",有期货用料,有期货订单,非代采客户,正常,小于5天,,已绑定,0.6061,6,1-7天,2.0588,1-7天,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华东,徐岳,宁波鸿雁包装材料有限公司,,终端,打包带/包装带/捆扎带/捆束条,软包装,工业,"LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|神华包头,MLLDPE-2010HA|独山子石化,MLLDPE-2010MA|埃克森,MLLDPE-2012MA|埃克森,MLLDPE-3812CB|埃克森,MLLDPE-3812PA|埃克森,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,ULDPE膜料-4404G|陶氏","LLDPE,MLLDPE,ULDPE","LLDPE膜料,MLLDPE,ULDPE膜料",200,待风控重审,系统冻结|风险低：近一年未合作,3,1-7天,1,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2018-12-13,小客户,,"LLDPE膜料|月用量|30|渗透率|0.00%|,MLLDPE|月用量|24.75|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,大于等于15天,11,已绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华南,刘琼芳,广州市民彩新材料科技有限公司,,终端,共挤膜/多层包装膜|化妆品瓶盖|通用包装软管,其它|硬包装,其它|日用,"EAA-3003|韩国SK,EAA-3990|日本三井杜邦,EAA-3990|美国杜邦,HDPE拉丝料-5000S|大庆石化,HDPE注塑料-7260K|浙江石化,HDPE注塑料-7260|广东石化,HDPE注塑料-7260|烟台万华,HDPE注塑料-8008H|独山子石化,HDPE注塑料-8920|延长榆能化,HDPE注塑料-8920|独山子石化,HDPE注塑料-DMDA8920|福建联合,HDPE注塑料-FL8008|福建联合,HDPE注塑料-HD6480(HMA025)|埃克森,HDPE注塑料-KT10000|陶氏,HDPE注塑料-M75056F|福建联合,HDPE注塑料-T5070|华锦化工,HDPE膜料-3355F|泰国PTT,HDPE膜料-6207FL(HTA108)|埃克森,HDPE膜料-7000F|泰国PTT,HDPE膜料-8300|韩国SK,HDPE膜料-F04660|沙特SABIC,HDPE膜料-F920A|韩华道达尔,HDPE膜料-FB5600|北欧化工,LDPE涂覆料-722|陶氏,LDPE涂覆料-L705|沙特日本住友,LDPE膜料-0270|卡塔尔石化,LDPE膜料-2420H|中海壳牌,LDPE膜料-8230|北欧化工,LLDPE膜料-2036P|陶氏,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|茂名石化,LLDPE膜料-7420D|泰国PTT,LLDPE膜料-XUS61530.02|杜邦,LLDPE膜料-XUS61530.23|陶氏,MLLDPE-0535.MC(3505MC)|埃克森,MLLDPE-1018RA|埃克森,MLLDPE-3505MC|埃克森,MLLDPE-5400G|陶氏,MLLDPE-5815|陶氏,MLLDPE-FPS317-A|加拿大NOVA,MLLDPE-HPR1018HA|广东石化,PPHM拉丝料-PPH-T03|中科炼化,PPHM拉丝料-PPH-T03|茂名石化,PPHM注塑料-1714E1|福建联合,PPR透明注塑料-9025|茂名石化,PPR透明注塑料-HT9025ZK|中科炼化","EAA,HDPE,LDPE,LLDPE,MLLDPE,PPHM,PPR","EAA,HDPE拉丝料,HDPE注塑料,HDPE膜料,LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,PPHM拉丝料,PPHM注塑料,PPR透明注塑料",700,已授信,,60,31天+,3000000,1425015,3000000,,,,,,月月购,2026-06-15,大客户,20.67%,"LDPE|月用量|50|渗透率|0.00%|,MLLDPE|月用量|150|渗透率|3.76%|,PPR透明料|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|50|渗透率|10.25%|,PPHM拉丝料|月用量|0|渗透率|0.00%|,HDPE拉丝料|月用量|50|渗透率|15.50%|,EVA|月用量|0|渗透率|0.00%|,EAA|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|1|渗透率|1712.50%|,HDPE注塑料|月用量|0|渗透率|0.00%|,PPHM注塑料|月用量|0|渗透率|0.00%|,LDPE涂覆料|月用量|50|渗透率|4.12%|,HDPE膜料|月用量|350|渗透率|2.73%|",4,"HDPE,LDPE,LLDPE,MLLDPE",,有期货订单,非代采客户,正常,10到15天,8,已绑定,0.7353,22,16-30天,8.7831,8-15天,否,否
6碳线性Dowlex系列,2607G,快塑华南,交易服务4部-广州,黄小珍,深圳市湛辉鑫包装材料有限责任公司,,终端,拉伸缠绕膜,软包装,工业,"LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|兰州石化,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-218NF|福建联合,LLDPE膜料-2607G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华","LDPE,LLDPE","LDPE膜料,LLDPE膜料",81,未授信,,0,未授信,,,0,,,,,,无复购率,,小客户,,"LLDPE膜料|月用量|80|渗透率|0.00%|,LDPE膜料|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华东,徐岳,江苏文明人造草坪有限公司,,终端,人造草丝,消费品,工业类,"HDPE拉丝料-5000S|伊朗石化,HDPE拉丝料-5000S|兰州石化,HDPE拉丝料-5000S|大庆石化,HDPE拉丝料-5000S|泰国PTT,HDPE拉丝料-5001|埃及Ethydco,HDPE拉丝料-6094|延长榆能化,LLDPE注塑料-20024RQ|埃克森,LLDPE注塑料-2520|扬子石化,LLDPE注塑料-2650|扬子石化,LLDPE注塑料-2650粉|扬子石化,LLDPE注塑料-8320|中煤鄂能化,LLDPE注塑料-8320|大庆石化,LLDPE注塑料-M2320(8320)|镇海炼化,LLDPE膜料-1820粉|中原石化,LLDPE膜料-1820粉|扬子石化,LLDPE膜料-2036P|陶氏,LLDPE膜料-2047G|陶氏,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2606G|陶氏,LLDPE膜料-2607GC|陶氏,LLDPE膜料-2607G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|华泰,LLDPE膜料-7042|吉林石化,LLDPE膜料-7042|大庆石化,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|裕龙石化,LLDPE膜料-7042|镇海炼化,MLLDPE-M3518.PA|埃克森,POE-DF840|三井化学,POE-LC385|韩国PolyMirae,PPHM拉丝料-F280F|绍兴,PPHM拉丝料-T30H|东华能源,PPHM拉丝料-T30S|大连西太,PPHM注塑料-BL|兰港石化,PPHM纤维料-3155E5|埃克森,PPHM纤维料-BH|兰州石化,PPHM纤维料-HP552R|蒲洁能化,PPHM纤维料-PPH-Y-250(Z30S)|延长榆能化,PPHM纤维料-S2025|福基,PPHM纤维料-SY|兰州石化,PPHM纤维料-SZ30S|中韩石化（武汉）,PPHM纤维料-Y26SY|绍兴,PPHM纤维料-Y26|大连恒力,PPHM纤维料-Y26|福基,PPHM纤维料-YU26(Z30S)|镇海炼化,PPHM纤维料-Z30S-B|延长榆能化,PPHM纤维料-Z30S|大连西太,PPHM纤维料-Z30S|宁波金发,PPHM纤维料-Z30S|抚顺石化,PPHM纤维料-Z30S|鸿基石化","HDPE,LLDPE,MLLDPE,POE,PPHM","HDPE拉丝料,LLDPE注塑料,LLDPE膜料,MLLDPE,POE,PPHM拉丝料,PPHM注塑料,PPHM纤维料",950,待风控重审,系统冻结：逾期超15天,15,8-15天,600000,,0,250495,0,0,京塑条|授信额度:|250495|,,三月购,2026-01-07,大客户,0.91%,"POE|月用量|50|渗透率|0.00%|,PPCP|月用量|30|渗透率|0.00%|,HDPE拉丝料|月用量|200|渗透率|0.00%|,LLDPE电缆料|月用量|30|渗透率|0.00%|,PPHM拉丝料|月用量|100|渗透率|0.00%|,LLDPE注塑料|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|250|渗透率|3.48%|,LLDPE|月用量|20|渗透率|0.00%|,PPHM纤维料|月用量|220|渗透率|0.00%|,HDPE膜料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|0|渗透率|0.00%|,LDPE涂覆料|月用量|0|渗透率|0.00%|,PPB注塑料|月用量|0|渗透率|0.00%|,PPHM注塑料|月用量|30|渗透率|0.00%|,PPR注塑料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|50|渗透率|0.00%|,PPHM|月用量|300|渗透率|0.00%|,PPR透明注塑料|月用量|0|渗透率|0.00%|",1,LLDPE,有期货用料,无期货订单,非代采客户,正常,5到10天,1,已绑定,0.75,16,16-30天,11,8-15天,否,否
6碳线性Dowlex系列,2607G,快塑华南,交易服务3部-广州,邵丽香,中山休曼纸品有限公司,,终端,淋膜纸,软包装,涂覆,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-2018AY|埃克森,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|广西石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|内蒙宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|裕龙石化,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",230,已授信,,3,1-7天,300000,,0,230400,0,0,京塑条|授信额度:|230400|,,二月购,2026-05-29,小客户,6.65%,"LDPE|月用量|11|渗透率|0.00%|,LLDPE膜料|月用量|230|渗透率|4.38%|,MLLDPE|月用量|30|渗透率|1.53%|",2,"LLDPE,MLLDPE",,有期货订单,非代采客户,正常,未上线,,已绑定,0.5714,7,1-7天,2.5714,1-7天,否,是
6碳线性Dowlex系列,2607G,CPG-上海内海,CPG-上海内海,CPG-上海内海1,江苏纵横优仪人造草坪有限公司,74.25,终端,人造草丝,消费品,工业类,"LLDPE注塑料-20024RQ|埃克森,LLDPE注塑料-8320|大庆石化,LLDPE膜料-2047G|陶氏,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|大庆石化,MLLDPE-5220G|陶氏,PET-811|浙江万凯,PET-BG80|仪征化纤,PET-CZ-333|江苏三房巷,PPHM纤维料-Y26|福基","LLDPE,MLLDPE,PET,PPHM","LLDPE注塑料,LLDPE膜料,MLLDPE,PET,PPHM纤维料",450,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,300000,,0,258878.12,0,0,京塑条|授信额度:|258878|,,无复购率,2023-12-27,中客户,,"MLLDPE|月用量|20|渗透率|0.00%|,LLDPE膜料|月用量|200|渗透率|0.00%|,PPHM纤维料|月用量|100|渗透率|0.00%|,LLDPE注塑料|月用量|20|渗透率|0.00%|,PET|月用量|80|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,小于5天,1,已绑定,,,无逾期,,无逾期,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华南,张键洪,中山市明大包装材料有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2607G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-5118P|俄罗斯西布尔,LLDPE膜料-7042GD|茂名石化,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042N协议料|广东石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-F234PB|茂名石化,MLLDPE-M3518.CB|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",719,未授信,,0,未授信,,,0,231000,0,0,京塑条|授信额度:|231000|,,无复购率,2023-08-08,大客户,,"LLDPE膜料|月用量|709|渗透率|0.00%|,LLDPE|月用量|0|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,小于5天,1,已绑定,,,无逾期,,无逾期,否,未知
